problem,M,n,seed,group,HV,IGD+,runtime
dtlz1,2,10,43,baseline,0.7041598978065325,0.35530599628816345,98.25318837165833
dtlz1,2,10,44,smac3,1.0819425057756937,0.00013998462868529903,98.59134125709534
dtlz1,2,10,45,baseline,0.7055666376211588,0.35431748062935675,98.67144918441772
dtlz1,2,10,43,dynamic,1.0840419547611022,0.00015831015744999225,99.2153697013855
dtlz1,2,10,44,baseline,1.082336846412902,0.0028392816741164245,99.22374296188354
dtlz1,2,10,44,dynamic,1.083227589531825,0.001486497719888352,100.16350197792053
dtlz1,2,10,42,baseline,0.7035788893966095,0.3557117854843452,101.47290349006653
dtlz1,2,10,45,smac3,1.0833199332201178,0.0013535233992441993,102.19572591781616
dtlz1,2,10,42,dynamic,0.7045016873073651,0.35506646877608133,102.25970816612244
dtlz1,2,10,43,smac3,1.0836114513000148,0.0008846390636490947,102.50022172927856
dtlz1,2,10,46,baseline,1.083512424097483,0.0010207207766683517,102.57135939598083
dtlz1,2,10,42,smac3,1.0801568073303134,0.005719126202318335,102.76664233207703
dtlz1,2,10,46,smac3,0.7043768441387194,0.35515464445478295,103.23164439201355
dtlz1,2,10,45,dynamic,1.0839161843973795,9.682375220343014e-05,103.68852519989014
dtlz1,2,10,47,baseline,1.0783128699804891,0.008245160248908477,93.38278698921204
dtlz1,2,10,47,smac3,1.0835035854826158,0.001047090130049706,93.77532577514648
dtlz1,2,10,48,baseline,1.0822685116078572,0.003017039985085109,93.89450860023499
dtlz1,2,10,46,dynamic,1.0826871302318495,0.0023040452560158914,95.41828393936157
dtlz1,2,10,47,dynamic,1.071685443963723,0.017092559852176174,94.79298615455627
dtlz1,2,10,48,smac3,1.0841555867497337,6.458285475638825e-06,94.11570906639099
dtlz1,2,10,49,baseline,1.083449292082789,0.0011388800459568454,93.23947668075562
dtlz1,2,10,49,smac3,1.0837458269407119,0.0006686034700125475,94.14249730110168
dtlz1,2,10,50,smac3,0.7063249857032727,0.35378767977121417,94.76290678977966
dtlz1,2,10,50,baseline,1.0826753951690655,0.0021609070061986723,95.16177201271057
dtlz1,2,10,48,dynamic,0.7028993463534697,0.35618664130095845,96.10197567939758
dtlz1,2,10,51,baseline,1.0831591459232743,0.0015900361560041915,94.89541363716125
dtlz1,2,10,49,dynamic,1.0834006824893705,0.0010962351130250367,95.98317217826843
dtlz1,2,10,50,dynamic,1.0836950481025063,0.0007057643734742043,95.5713062286377
dtlz1,2,10,51,smac3,1.0841095429285064,6.513099222212382e-05,97.48105835914612
